UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
100103006313W500	105829	54.481987	-115.953952	54.481987	-115.953952	1050.1	1900	3/26/1984	1	1825	1830.5	Reservoir Fluid Other		0.0452	Alberta Geological Survey
100142307604W600	105915	55.603496	-118.505468	55.603496	-118.505468	679.7	1456	2/28/1984	1	1407	1412	Drill Stem Test	1984-02-28	0	Alberta Geological Survey
100142307604W600	105915	55.603496	-118.505468	55.603496	-118.505468	679.7	1456	2/29/1984	1	1397	1404	Drill Stem Test	1984-02-29	0	Alberta Geological Survey
100142307604W600	105915	55.603496	-118.505468	55.603496	-118.505468	679.7	1456	2/29/1984	2	1337	1342	Drill Stem Test	1984-02-29	0	Alberta Geological Survey
100162207208W600	110763	55.256359	-119.130621	55.256359	-119.130621	730.4	2248	5/2/2003	1	2154.5	2167.2	Wellhead		0.0073	Alberta Geological Survey
100162107020W500	111693	55.079968	-116.981349	55.079968	-116.981349	687.5	1451	1/7/1985	1	1380	1392	Other	1985-01-07	0	Alberta Geological Survey
100162107020W500	111693	55.079968	-116.981349	55.079968	-116.981349	687.5	1451	1/8/1985	1	1258	1264	Other	1985-01-08	0	Alberta Geological Survey
100162107020W500	111693	55.079968	-116.981349	55.079968	-116.981349	687.5	1451	4/5/2006	1	1381	1392	Other	2006-04-13	0.0001	Alberta Geological Survey
100082307208W600	111787	55.250091	-119.105018	55.250091	-119.105018	740.9	2265	5/2/2003	1	2166	2174	Reservoir Fluid Other		0.0278	Alberta Geological Survey
100061607403W600	110228	55.407671	-118.398518	55.407671	-118.398518	687.7	1824	12/2/1984	1	1527	1531	Wellhead	1984-12-02	0	Alberta Geological Survey
100060707502W600	110503	55.482657	-118.303267	55.482657	-118.303267	718.9	1510	11/10/1984	1	1466	1483	Drill Stem Test	1984-11-10	0	Alberta Geological Survey
100123206213W500	112905	54.410020	-115.921182	54.410020	-115.921182	902.4	1815	2/16/1985	1	1724	1732	Other	1985-02-16	0	Alberta Geological Survey
100123206213W500	112905	54.410020	-115.921182	54.410020	-115.921182	902.4	1815	2/20/1985	1	1398	1401.5	Other	1985-02-20	0	Alberta Geological Survey
103093006313W502	113220	54.479402	-115.940594	54.481724	-115.947862	1065.5	2298	1/7/2013	1	2000	2228	First Stage Separator	2013-01-15	0.0337	Alberta Geological Survey
