Site_ID,Data_set_ID,UWI,NAD83_Lat,NAD83_Long,Date_samp,Grnd_elev,KB_elev,Top_rel_sea,Bot_rel_sea,Top_rel_dep,Bot_rel_dep,Culled,Cat_an_bal,Lithium,Form_name
100,ARC,02/06-12-001-08W4-2,49.638484,-113.798726,27-Jun-77,1112.8,n/a,1112.8,1109.1,0,3.7,No,-0.011023,<0.1,Paskapoo Formation
100374,AGSWDB,00/11-10-065-19W4-0,54.612639,-112.791853,n/a,627.6,630.6,27.1,21,603.5,609.6,No,0.014579,8.6,Wabamun Group
100422,AGSWDB,00/10-09-065-23W4-0,54.612995,-113.41576,n/a,629.7,633.7,-99,-102.7,732.7,736.4,Yes,0.020367,17,Wabamun Group
100422,AGSWDB,00/10-09-065-23W4-0,54.612995,-113.41576,n/a,629.7,633.7,-97.2,-103.9,730.9,737.6,Yes,0.025815,14,Wabamun Group
100464,AGSWDB,00/06-24-065-24W4-0,54.636463,-113.502194,n/a,632.2,636.7,-119.8,-124.7,756.5,761.4,Yes,-0.03522,7.1,Wabamun Group
100533,AGSWDB,00/06-33-065-05W5-0,54.665932,-114.698672,n/a,733.3,737.3,-318.5,-322.8,1055.8,1060.1,No,0.025107,10,Mannville Group
100766,AGSWDB,00/02-06-065-12W5-0,54.59095,-115.800609,n/a,1039.1,1043.3,-1713.6,-1725.8,2756.9,2769.1,No,-0.001348,40,Beaverhill Lake Formation
100915,AGSWDB,00/02-09-065-16W5-0,54.605951,-116.353701,n/a,957.7,961.9,-844.6,-858.4,1806.6,1820.3,Yes,-0.01798,35,n/a
100938,AGSWDB,00/11-24-065-18W5-0,54.642445,-116.58929,n/a,818.4,822.4,-812.9,-831.1,1635.3,1653.5,Yes,0.037993,15,Mannville Group
100982,AGSWDB,00/01-11-065-21W5-0,54.605942,-117.056273,n/a,765.4,769.3,-1189,-1196.4,1958.3,1965.7,No,-0.013028,43,Montney Formation
101,ARC,00/06-15-001-08W4-0,49.496344,-113.451856,27-Jun-77,1112.8,n/a,1061,1054.9,51.8,57.9,No,0.012901,<0.1,Paskapoo Formation
101032,AGSWDB,00/10-22-065-24W5-0,54.641452,-117.539971,n/a,900.4,904.3,-2597.2,-2601.5,3501.5,3505.8,Yes,-0.01136,37,Beaverhill Lake Formation
-1013130036,BRB,n/a,55.135475,-110.432282,18-Aug-99,675.4,n/a,473,465.1,n/a,n/a,No,n/a,0.063,n/a
-1013130036,BRB,n/a,55.135475,-110.432282,21-May-00,675.4,n/a,473,465.1,n/a,n/a,No,n/a,0.03,n/a
-1013130036,BRB,n/a,55.135475,-110.432282,30-Aug-00,675.4,n/a,473,465.1,n/a,n/a,No,n/a,0.043,n/a
